Year,Quarter,LocationAbbr,LocationDesc,TopicDesc,MeasureDesc,ProvisionGroupDesc,ProvisionDesc,ProvisionValue,ProvisionAltValue,DataType,Enacted_Date,Effective_Date,GeoLocation,ProvisionGroupID,ProvisionID,Time_Lag,Negative_Lag,Copied_From_Neighbor,Total_Neighbors,No_Neighbors_Already_Implemented,Neighbor_Adoption_Rate,Neighbors_Already_Implemented,Neighbor_Who_Implemented_First,Adoption_Lag,Copy_Confidence_Score
1995,4,OK,Oklahoma,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Designated Areas,3,Ranking,1987-06-24,1987-11-01,"(35.47203135600046, -97.52107021399968)",15GRP,98,130,False,True,6,2,0.3333333333333333,"['Kansas', 'Colorado']",Kansas,3645.0,0.29166666666666663
1995,4,CO,Colorado,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Designated Areas,3,Ranking,1977-07-01,1977-07-01,"(38.843840757000464, -106.13361092099967)",15GRP,99,0,False,False,6,1,0.16666666666666666,['Arizona'],Arizona,1519.0,0.14583333333333331
1995,4,ND,North Dakota,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1993-04-01,1993-08-01,"(47.47531977900047, -100.11842104899966)",10GRP,65,122,False,True,3,1,0.3333333333333333,['Minnesota'],Minnesota,2128.0,0.29166666666666663
1995,4,FL,Florida,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Designated Areas,3,Ranking,1985-01-01,1985-01-01,"(28.932040377000476, -81.92896053899966)",15GRP,231,0,False,False,2,0,0.0,[],,,0.0
1995,4,NH,New Hampshire,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Designated Areas,3,Ranking,1990-04-27,1991-01-01,"(43.65595011300047, -71.50036091999965)",10GRP,81,249,False,False,3,0,0.0,[],,,0.0
1995,4,SD,South Dakota,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Designated Areas,3,Ranking,1994-03-11,1994-07-01,"(44.353130053000484, -100.3735306369997)",10GRP,65,112,False,False,5,0,0.0,[],,,0.0
1995,4,AK,Alaska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Prisons,Designated Areas,3,Ranking,1990-05-16,1990-08-14,"(64.84507995700051, -147.72205903599973)",15GRP,101,90,False,False,0,0,,[],,,0.0
1995,4,MN,Minnesota,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Designated Areas,3,Ranking,1975-06-02,1975-06-02,"(46.35564873600049, -94.79420050299967)",10GRP,20,0,False,False,4,0,0.0,[],,,0.0
1995,4,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Designated Areas,3,Ranking,1992-07-09,1992-07-09,"(40.79373015200048, -77.86070029399963)",15GRP,99,0,False,False,6,1,0.16666666666666666,['Ohio'],Ohio,5884.0,0.14583333333333331
1995,4,MD,Maryland,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,1995-04-27,1995-04-27,"(39.29058096400047, -76.60926011099963)",10GRP,37,0,False,True,5,4,0.8,"['Virginia', 'Pennsylvania', 'District of Columbia', 'Delaware']",Virginia,2318.0,0.7
1995,4,MT,Montana,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Designated Areas,3,Ranking,1979-03-29,1979-07-01,"(47.06652897200047, -109.42442064499971)",15GRP,97,94,False,False,3,0,0.0,[],,,0.0
1995,4,NY,New York,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Designated Areas,3,Ranking,1989-07-05,1990-01-01,"(42.82700103200045, -75.54397042699964)",10GRP,1,180,False,True,5,3,0.6,"['New Jersey', 'Pennsylvania', 'Massachusetts']",New Jersey,1295.0,0.5249999999999999
1995,4,LA,Louisiana,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,1992-07-14,1992-08-15,"(31.31266064400046, -92.44568007099969)",15GRP,99,32,False,False,3,0,0.0,[],,,0.0
1995,4,MI,Michigan,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1993-10-29,1994-04-01,"(44.6613195430005, -84.71439026999968)",10GRP,65,154,False,False,3,0,0.0,[],,,0.0
1995,4,ID,Idaho,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,1985-01-01,1985-01-01,"(43.682630005000476, -114.3637300419997)",10GRP,37,0,False,True,5,2,0.4,"['Montana', 'Oregon']",Montana,2105.0,0.35
1995,4,MO,Missouri,Legislation - Smokefree Indoor Air,Bars,Restriction Areas,Type of Restriction in Bar Employee Area,Designated Areas,3,Ranking,1992-06-11,1992-12-31,"(38.635790776000476, -92.56630005299968)",15GRP,236,203,False,False,7,1,0.14285714285714285,['Nebraska'],Nebraska,4910.0,0.12499999999999997
1995,4,LA,Louisiana,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1993-06-10,1993-08-15,"(31.31266064400046, -92.44568007099969)",10GRP,50,66,False,True,3,1,0.3333333333333333,['Arkansas'],Arkansas,2989.0,0.29166666666666663
1995,4,GU,Guam,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Smoking Area,0,Ranking,1992-10-01,1992-11-01,"(13.444304, 144.793731)",15GRP,232,31,False,False,0,0,,[],,,0.0
1995,4,ND,North Dakota,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1993-04-01,1993-08-01,"(47.47531977900047, -100.11842104899966)",10GRP,50,122,False,True,3,1,0.3333333333333333,['Minnesota'],Minnesota,2128.0,0.29166666666666663
1995,4,ME,Maine,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Designated Areas,3,Ranking,1989-10-16,1989-10-16,"(45.254228894000505, -68.98503133599962)",15GRP,100,0,False,False,1,0,0.0,[],,,0.0
1995,4,MI,Michigan,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1993-10-22,1993-10-22,"(44.6613195430005, -84.71439026999968)",10GRP,50,0,False,False,3,0,0.0,[],,,0.0
1995,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Designated Areas,3,Ranking,1979-05-21,1980-01-01,"(41.6410409880005, -99.36572062299967)",10GRP,20,225,False,False,5,0,0.0,[],,,0.0
1995,4,MT,Montana,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Designated Areas,3,Ranking,1979-03-29,1979-07-01,"(47.06652897200047, -109.42442064499971)",10GRP,20,94,False,False,3,0,0.0,[],,,0.0
1995,4,CA,California,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1994-07-21,1995-01-01,"(37.63864012300047, -120.99999953799971)",10GRP,65,164,False,False,3,0,0.0,[],,,0.0
1995,4,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Designated Areas,3,Ranking,1988-12-21,1988-12-31,"(40.79373015200048, -77.86070029399963)",15GRP,233,10,False,False,6,0,0.0,[],,,0.0
1995,4,NH,New Hampshire,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Designated Areas,3,Ranking,1990-04-27,1991-01-01,"(43.65595011300047, -71.50036091999965)",10GRP,1,249,False,True,3,1,0.3333333333333333,['Massachusetts'],Massachusetts,834.0,0.29166666666666663
1995,4,ND,North Dakota,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Designated Areas,3,Ranking,1987-04-04,1987-07-01,"(47.47531977900047, -100.11842104899966)",15GRP,99,88,False,False,3,2,0.6666666666666666,"['South Dakota', 'Montana']",South Dakota,4789.0,0.5833333333333333
1995,4,MN,Minnesota,Legislation - Smokefree Indoor Air,Government Worksites,Vehicles,Type of Restriction in Government Worksite Vehicle,Banned,4,Ranking,1987-06-04,1990-01-01,"(46.35564873600049, -94.79420050299967)",30GRP,17,942,False,False,4,0,0.0,[],,,0.0
1995,4,MI,Michigan,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,1993-10-15,1994-04-01,"(44.6613195430005, -84.71439026999968)",10GRP,37,168,False,False,3,1,0.3333333333333333,['Wisconsin'],Wisconsin,3940.0,0.29166666666666663
1995,4,IL,Illinois,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Designated Areas,3,Ranking,1990-01-01,1990-07-01,"(40.48501028300046, -88.99771017799969)",10GRP,20,181,False,True,4,2,0.5,"['Iowa', 'Wisconsin']",Iowa,2084.0,0.4375
1995,4,IA,Iowa,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1990-04-24,1990-04-24,"(42.46940091300047, -93.81649055599968)",15GRP,232,0,False,False,6,4,0.6666666666666666,"['Minnesota', 'Wisconsin', 'Illinois', 'Nebraska']",Minnesota,5592.0,0.5833333333333333
1995,4,VT,Vermont,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1993-05-28,1993-07-01,"(43.62538123900049, -72.51764079099962)",15GRP,232,34,False,True,3,2,0.6666666666666666,"['New Hampshire', 'Massachusetts']",New Hampshire,1127.0,0.5833333333333333
1995,4,WA,Washington,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Designated Areas,3,Ranking,1985-05-10,1985-07-28,"(47.52227862900048, -120.47001078999972)",15GRP,98,79,False,True,2,2,1.0,"['Idaho', 'Oregon']",Idaho,1389.0,0.7
1995,4,GU,Guam,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Banned,4,Ranking,1992-10-01,1992-11-01,"(13.444304, 144.793731)",15GRP,99,31,False,False,0,0,,[],,,0.0
1995,4,MO,Missouri,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1993-06-15,1993-09-13,"(38.635790776000476, -92.56630005299968)",10GRP,65,90,False,False,7,0,0.0,[],,,0.0
1995,4,HI,Hawaii,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1987-01-01,1987-01-01,"(21.304850435000446, -157.85774940299973)",15GRP,232,0,False,False,0,0,,[],,,0.0
1995,4,GU,Guam,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Designated Smoking Area,0,Ranking,1992-10-01,1992-11-01,"(13.444304, 144.793731)",15GRP,97,31,False,False,0,0,,[],,,0.0
1995,4,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Designated Areas,3,Ranking,1988-12-21,1988-12-31,"(40.79373015200048, -77.86070029399963)",15GRP,231,10,False,False,6,0,0.0,[],,,0.0
1995,4,VT,Vermont,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,1993-06-03,1995-01-01,"(43.62538123900049, -72.51764079099962)",10GRP,81,577,False,False,3,0,0.0,[],,,0.0
1995,4,MN,Minnesota,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1975-01-01,1975-01-01,"(46.35564873600049, -94.79420050299967)",15GRP,232,0,False,False,4,0,0.0,[],,,0.0
1995,4,VA,Virginia,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Designated Areas,3,Ranking,1990-04-18,1991-07-01,"(37.54268067400045, -78.45789046299967)",15GRP,97,439,False,False,5,1,0.2,['District of Columbia'],District of Columbia,3936.0,0.175
1995,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Designated Areas,3,Ranking,1979-05-21,1980-01-01,"(41.6410409880005, -99.36572062299967)",15GRP,100,225,False,False,5,1,0.2,['Colorado'],Colorado,689.0,0.19184931506849315
1995,4,DC,District of Columbia,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Employee Area,Designated Areas,3,Ranking,1990-12-14,1991-02-14,"(38.89037138500049, -77.03196112699965)",15GRP,232,62,False,True,2,1,0.5,['Virginia'],Virginia,240.0,0.6388698630136986
1995,4,MN,Minnesota,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1987-06-04,1990-01-01,"(46.35564873600049, -94.79420050299967)",10GRP,65,942,False,False,4,0,0.0,[],,,0.0
1995,4,GA,Georgia,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1994-04-01,1994-07-01,"(32.83968109300048, -83.62758034599966)",10GRP,50,91,False,True,5,2,0.4,"['Florida', 'South Carolina']",Florida,721.0,0.35369863013698627
1995,4,IL,Illinois,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Banned,4,Ranking,1993-07-20,1994-01-01,"(40.48501028300046, -88.99771017799969)",10GRP,50,165,False,False,4,1,0.25,['Missouri'],Missouri,35.0,0.5043664383561643
1995,4,ID,Idaho,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Designated Areas,3,Ranking,1985-03-11,1986-01-01,"(43.682630005000476, -114.3637300419997)",15GRP,97,296,False,True,5,2,0.4,"['Montana', 'Oregon']",Montana,2174.0,0.35
1995,4,UT,Utah,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Patron Area,Banned,4,Ranking,1994-03-22,1995-01-01,"(39.360700171000474, -111.58713063499971)",15GRP,233,285,False,False,5,0,0.0,[],,,0.0
1995,4,IA,Iowa,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Enclosed Arenas,Designated Areas,3,Ranking,1987-06-08,1987-07-01,"(42.46940091300047, -93.81649055599968)",15GRP,98,23,False,False,6,2,0.3333333333333333,"['Minnesota', 'Nebraska']",Minnesota,4389.0,0.29166666666666663
1995,4,SD,South Dakota,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Designated Areas,3,Ranking,1974-02-22,1974-05-23,"(44.353130053000484, -100.3735306369997)",15GRP,99,90,False,False,5,0,0.0,[],,,0.0
1995,4,PA,Pennsylvania,Legislation - Smokefree Indoor Air,Private Worksites,Restrictions,Type of Restriction in Private Worksite,Designated Areas,3,Ranking,1988-12-21,1989-02-19,"(40.79373015200048, -77.86070029399963)",10GRP,20,60,False,False,6,1,0.16666666666666666,['New Jersey'],New Jersey,1288.0,0.14583333333333331
1995,4,NH,New Hampshire,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,1990-04-27,1991-01-01,"(43.65595011300047, -71.50036091999965)",10GRP,37,249,False,False,3,0,0.0,[],,,0.0
1995,4,DC,District of Columbia,Legislation - Smokefree Indoor Air,Government Worksites,Vehicles,Type of Restriction in Government Worksite Vehicle,Banned,4,Ranking,1979-01-01,1979-01-01,"(38.89037138500049, -77.03196112699965)",30GRP,17,0,False,False,2,0,0.0,[],,,0.0
1995,4,UT,Utah,Legislation - Smokefree Indoor Air,Hotels and Motels,Restrictions,Type of Restriction in Lobby and Common Area of Hotel and Motel,Banned,4,Ranking,1994-03-22,1995-01-01,"(39.360700171000474, -111.58713063499971)",10GRP,81,285,False,False,5,0,0.0,[],,,0.0
1995,4,IL,Illinois,Legislation - Smokefree Indoor Air,Home-based Day Care Centers,Restrictions,Type of Restriction in Home-Based Day Care,Banned,4,Ranking,1993-07-20,1994-01-01,"(40.48501028300046, -88.99771017799969)",10GRP,65,165,False,False,4,1,0.25,['Missouri'],Missouri,35.0,0.5043664383561643
1995,4,PW,Palau,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,1991-11-11,1991-11-11,"(7.514979999999999, 134.58251999999993)",10GRP,1,0,False,False,0,0,,[],,,0.0
1995,4,OR,Oregon,Legislation - Smokefree Indoor Air,Restaurants,Restriction Areas,Type of Restriction in Restaurant Bar Area,Designated Areas,3,Ranking,1981-01-01,1981-12-31,"(44.56744942400047, -120.15503132599969)",15GRP,231,364,False,False,4,0,0.0,[],,,0.0
1995,4,NV,Nevada,Legislation - Smokefree Indoor Air,Commercial Day Care Centers,Restrictions,Type of Restriction in Commercial Day Care,Designated Areas,3,Ranking,1989-06-21,1989-06-21,"(39.493240390000494, -117.07184056399967)",10GRP,50,0,False,False,5,0,0.0,[],,,0.0
1995,4,OH,Ohio,Legislation - Smokefree Indoor Air,Government Worksites,Restrictions,Type of Restriction in Government Worksite,Banned,4,Ranking,1993-01-08,1993-01-08,"(40.06021014100048, -82.40426005599966)",10GRP,1,0,False,False,4,1,0.25,['Michigan'],Michigan,296.0,0.3971061643835616
1995,4,IA,Iowa,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Hospitals,Designated Areas,3,Ranking,1987-06-08,1987-07-01,"(42.46940091300047, -93.81649055599968)",15GRP,100,23,False,True,6,2,0.3333333333333333,"['Nebraska', 'South Dakota']",Nebraska,2940.0,0.29166666666666663
1995,4,VA,Virginia,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,1990-04-18,1990-12-31,"(37.54268067400045, -78.45789046299967)",10GRP,37,257,False,False,5,0,0.0,[],,,0.0
1995,4,NE,Nebraska,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Grocery Stores,Designated Areas,3,Ranking,1979-05-21,1980-01-01,"(41.6410409880005, -99.36572062299967)",15GRP,97,225,False,False,5,0,0.0,[],,,0.0
1995,4,DC,District of Columbia,Legislation - Smokefree Indoor Air,Restaurants,Restrictions,Type of Restriction in Restaurant (Summary),Designated Areas,3,Ranking,1990-12-14,1991-02-14,"(38.89037138500049, -77.03196112699965)",10GRP,37,62,False,True,2,1,0.5,['Virginia'],Virginia,240.0,0.6388698630136986
1995,4,NV,Nevada,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Public Transportation,Designated Areas,3,Ranking,1975-05-05,1975-05-05,"(39.493240390000494, -117.07184056399967)",15GRP,99,0,False,False,5,1,0.2,['Arizona'],Arizona,731.0,0.175
1995,4,PR,Puerto Rico,Legislation - Smokefree Indoor Air,Smokefree Indoor Air – Other Sites,Restriction Areas,Mental Health - Outpatient Facilities,Designated Smoking Area,0,Ranking,1993-08-03,1994-01-30,"(18.220833, -66.590149)",15GRP,340,180,False,False,0,0,,[],,,0.0
